rank,mentions,n_studies,suggested_name,suggested_slug,hgnc_id,raw_variants,stripped,flags,fields,example_studies,DECISION,CANONICAL_NAME,TYPE,MERGE_INTO,NOTE
1,134,120,mTORC1,mtorc1,,mTORC1 | mTORC1 activation | mTORC1 amino-acid sensors | mTORC1 inhibition | mTORC1 nutrient-sensing machinery | mTORC1 pathway,"activation, amino-acid sensors, inhibition, nutrient-sensing machinery, pathway",,"ai_intervention, ai_target","ANA2019, ARR2015, AYL2015, BAB2025, BAR2012",,,,,
2,107,97,mTOR,mtor,,MTOR | mTOR | mTOR activity | mTOR axis | mTOR inhibition | mTOR network,"activity, axis, inhibition, network, pathway, signaling, signaling pathway",,"ai_intervention, ai_target","ARA2009, BAN2014, BIS2008, BIT2016, BLA2006",,,,,
3,40,35,mTORC2,mtorc2,,mTORC2 | mTORC2 core,core,,"ai_intervention, ai_target","BEN2008, BET2013, CHE2018, CHI2012, CHR2009",,,,,
4,37,37,Rapamycin,rapamycin,,Rapamycin | rapamycin,,,"ai_intervention, ai_target","ARA2009, BIT2016, BJE2010, BOD2001, CHE2009",,,,,
5,20,17,Akt,akt,,AKT | Akt,,,"ai_intervention, ai_target","BANERJEE2026, BET2013, BOD2001, FRI2006, GUE2009",,,,,
6,14,11,Rheb,rheb,,RHEB | Rheb,,,"ai_intervention, ai_target","DEL2011, DIB2012, GAR2003, INOK2003, LON2005",,,,,
7,14,11,AMPK,ampk,,AMPK,,,"ai_intervention, ai_target","BAN2014, EGA2010, GWI2008, HOW2017, INO2003",,,,,
8,13,11,Rag GTPases,rag-gtpases,,Rag GTPases,,,"ai_intervention, ai_target","BAR2012, BAR2013, DEM2014, DUR2012, EFE2012",,,,,
9,12,9,TSC2,tsc2,,TSC2,,,"ai_intervention, ai_target","DEM2014, DEM2016, EHN2008, GAR2003, INO2002",,,,,
10,12,10,raptor,raptor,,RAPTOR | Raptor | raptor,,,"ai_intervention, ai_target","ANA2019, GUE2006, GWI2008, HARA2002, KIM2002",,,,,
11,11,10,TOR,tor,,TOR,,,"ai_intervention, ai_target","BAR2016, BJE2010, HEI1991, KAE2005, KAP2004",,,,,
12,11,11,Everolimus,everolimus,,Everolimus,,,ai_intervention,"BAS2012, BIS2013, FRA2013, IYE2012, KRU2010",,,,,
13,10,7,S6K1,s6k1,,S6K1,,,"ai_intervention, ai_target","BEN2013, DOR2006, FIN2002, HOL2005, ROB2013",,,,,
14,10,9,TORC1,torc1,,TORC1 | TORC1 inhibition,inhibition,,"ai_intervention, ai_target","BAT2022, BETZ2013, DEM2014, KIM2008, LOE2002",,,,,
15,9,6,TFEB,tfeb,,TFEB,,,"ai_intervention, ai_target","GAO2026, MAR2012, NAP2020, ROC2012, SET2011",,,,,
16,9,9,Rag,rag,,Rag,,,"ai_intervention, ai_target","CHA2014, DEM2014, HOW2017, PAR2014, PEN2017",,,,,
17,9,5,SLC38A9,slc38a9,,SLC38A9,,,"ai_intervention, ai_target","JUN2015, LEI2018, REB2015, WAN2015, WYA2017",,,,,
18,7,5,ULK1,ulk1,,ULK1,,,"ai_intervention, ai_target","EGA2010, KIM2011, LOF2011, NAZ2013, SONH2026",,,,,
19,7,6,4E-BP1,4e-bp1,,4E-BP1,,,"ai_intervention, ai_target","BUR1998, GIN1999, HAR1998, JIN2026, NOJ2003",,,,,
20,7,4,FLCN,flcn,,FLCN,,,"ai_intervention, ai_target","LI2026, NAP2020, PET2013, TSU2013",,,,,
21,7,4,PRAS40,pras40,,PRAS40,,,"ai_intervention, ai_target","OSH2007, SAN2007, VAN2007, YAN2017",,,,,
22,6,6,autophagy,autophagy,,Autophagy | autophagy,,,ai_target,"GAO2026, LIS2026, MA2026, MEL2003, PYO2013",,,,,
23,6,4,4E-BP,4e-bp,,4E-BP,,,"ai_intervention, ai_target","MAX2009, MOR2013, THO2012, ZID2009",,,,,
24,6,6,GATOR2,gator2,,GATOR2,,,"ai_intervention, ai_target","BAR2013, CHA2014, CHA2016, SAX2015, SAX2016",,,,,
25,6,5,Ragulator,ragulator,,Ragulator,,,"ai_intervention, ai_target","BAR2012, LAW2018, SAN2010, SHE2019, SUX2017",,,,,
26,6,6,Rag-Ragulator,rag-ragulator,,Rag-Ragulator,,,"ai_intervention, ai_target","JUN2015, LAW2018, REB2015, ROG2019, WAN2015",,,,,
27,5,5,PI3K,pi3k,,PI3K,,,ai_target,"BANERJEE2026, CAN2002, CAR2008, DIB2015, ROM2001",,,,,
28,5,5,TORC2,torc2,,TORC2,,,ai_target,"BETZ2013, KAR2017, LOE2002, WUL2006, YAN2006",,,,,
29,4,3,SIN1,sin1,,SIN1 | Sin1,,,"ai_intervention, ai_target","JAC2006, LIU2015, YAN2006",,,,,
30,4,4,FKBP12,fkbp12,,FKBP12,,,ai_target,"BRO1994, CHO1996, SAB1994, SAB1995",,,,,
31,4,4,TSC1,tsc1,,TSC1,,,"ai_intervention, ai_target","CHE2009, GAR2003, IYE2012, TEE2003",,,,,
32,4,4,rictor,rictor,,Rictor | rictor,,,ai_intervention,"GUE2006, GUE2009, JAC2004, SAR2004",,,,,
33,4,3,TSC1-TSC2,tsc1-tsc2,,TSC1-TSC2,,,"ai_intervention, ai_target","BRU2004, GAR2003, TEE2003",,,,,
