source,target,n_studies,study_sids,status,confidence,example_raw,REVIEWED,SIGN
mTORC1,mTORC2,9,"GUE2006, KIM2019, LAP2012, ROD2011, SAC2011, SAX2017",Proposed,heuristic-order-in-AI_Target,Rac1 / mTORC1 / mTORC2,,
Rag,mTORC1,7,"CHA2014, HOW2017, PAR2014, PEN2017, SAN2010, WOL2015",Proposed,heuristic-order-in-AI_Target,Sestrin2 / GATOR2 / Rag / mTORC1,,
mTOR,raptor,5,"HARA2002, KIM2002, KIM2003, NOJ2003, SCH2003",Proposed,heuristic-order-in-AI_Target,mTOR / raptor / GβL (mLST8),,
mTORC2,Akt,4,"BET2013, GUE2009, ROD2011, SAR2006",Proposed,heuristic-order-in-AI_Target,mTORC2 / Akt,,
mTORC1,TFEB,4,"MAR2012, NAP2020, ROC2012, SET2012",Proposed,heuristic-order-in-AI_Target,mTORC1 / TFEB,,
Rag-Ragulator,mTORC1,4,"JUN2015, REB2015, WAN2015, ZON2011",Proposed,heuristic-order-in-AI_Target,SLC38A9 / Rag-Ragulator / mTORC1,,
AMPK,mTOR,4,"BAN2014, INO2003, KIM2011, SONH2026",Proposed,heuristic-order-in-AI_Target,TSC2 / AMPK / mTOR,,
Akt,mTOR,3,"BOD2001, INO2002, MA2026",Proposed,heuristic-order-in-AI_Target,TSC2 / Akt / mTOR,,
raptor,mTORC1,3,"ANA2019, GWI2008, SAN2008",Proposed,heuristic-order-in-AI_Target,raptor / mTORC1 / AMPK,,
mTORC1,Rag GTPases,3,"DUR2012, EFE2012, JEW2015",Proposed,heuristic-order-in-AI_Target,mTORC1 / Rag GTPases,,
Rag GTPases,mTORC1,3,"BAR2012, BAR2013, PET2013",Proposed,heuristic-order-in-AI_Target,Ragulator / Rag GTPases / mTORC1,,
p70 S6K,4E-BP1,3,"BUR1998, HAR1998, NOJ2003",Proposed,heuristic-order-in-AI_Target,RAFT1/mTOR / p70 S6K / 4E-BP1,,
TORC1,TORC2,3,"BETZ2013, LOE2002, WUL2006",Proposed,heuristic-order-in-AI_Target,TORC1 / TORC2 (subcellular localization),,
GATOR2,mTORC1,3,"CHA2016, SAX2015, SAX2016",Proposed,heuristic-order-in-AI_Target,CASTOR1 / GATOR2 / mTORC1 (arginine),,
Ragulator,mTORC1,3,"LAW2018, SHE2019, SUX2017",Proposed,heuristic-order-in-AI_Target,FLCN-FNIP2 / Rag / Ragulator / mTORC1,,
mTORC1,PRAS40,3,"OSH2007, SAN2007, VAN2007",Proposed,heuristic-order-in-AI_Target,mTORC1 / PRAS40,,
Rheb,mTORC1,3,"DIB2012, LON2005, MEN2014",Proposed,heuristic-order-in-AI_Target,TSC1-TSC2-TBC1D7 / Rheb / mTORC1,,
SLC38A9,Rag-Ragulator,3,"JUN2015, REB2015, WAN2015",Proposed,heuristic-order-in-AI_Target,SLC38A9 / Rag-Ragulator / mTORC1,,
mTOR,ULK1,3,"KIM2011, NAZ2013, SONH2026",Proposed,heuristic-order-in-AI_Target,mTOR / ULK1 / AMBRA1 / TRAF6,,
mTORC2,Akt Ser473,2,"JAC2006, SAR2005",Proposed,heuristic-order-in-AI_Target,mTORC2 (rictor-mTOR) / Akt Ser473,,
GATOR2,Rag,2,"CHA2014, WOL2015",Proposed,heuristic-order-in-AI_Target,Sestrin2 / GATOR2 / Rag / mTORC1,,
mTORC1,4E-BP,2,"MOR2013, THO2012",Proposed,heuristic-order-in-AI_Target,mTORC1 / 4E-BP,,
mTOR,TSC1,2,"CHE2009, IYE2012",Proposed,heuristic-order-in-AI_Target,mTOR / TSC1,,
mTOR,S6K1,2,"FIN2002, HOL2005",Proposed,heuristic-order-in-AI_Target,mTOR / S6K1 / eIF3,,
LC3B,p62,2,"VER2026, VERMA2026",Proposed,heuristic-order-in-AI_Target,mTOR / LC3B / p62 / Beclin-1 autophagy axis,,
Akt,RTK,2,"ORE2006, ROD2011",Proposed,heuristic-order-in-AI_Target,mTOR / IRS-1 / Akt / RTK,,
