n_studies,source,target,study_sids,SIGN,MECHANISM,DIRECTNESS,DECISION
9,mTORC1,mTORC2,"GUE2006, KIM2019, LAP2012, ROD2011, SAC2011, SAX2017",,,,
5,mTOR,raptor,"HARA2002, KIM2002, KIM2003, NOJ2003, SCH2003",,,,
4,mTORC1,TFEB,"MAR2012, NAP2020, ROC2012, SET2012",,,,
4,Rag-Ragulator,mTORC1,"JUN2015, REB2015, WAN2015, ZON2011",,,,
4,AMPK,mTOR,"BAN2014, INO2003, KIM2011, SONH2026",,,,
3,p70 S6K,4E-BP1,"BUR1998, HAR1998, NOJ2003",,,,
3,mTOR,ULK1,"KIM2011, NAZ2013, SONH2026",,,,
3,TORC1,TORC2,"BETZ2013, LOE2002, WUL2006",,,,
3,SLC38A9,Rag-Ragulator,"JUN2015, REB2015, WAN2015",,,,
3,Ragulator,mTORC1,"LAW2018, SHE2019, SUX2017",,,,
3,GATOR2,mTORC1,"CHA2016, SAX2015, SAX2016",,,,
3,Akt,mTOR,"BOD2001, INO2002, MA2026",,,,
2,nutrient-sensing,mTOR,"MAT2017, ROM2016",,,,
2,mTORC2,actin cytoskeleton,"JAC2004, SAR2004",,,,
2,mTORC2,Akt Ser473,"JAC2006, SAR2005",,,,
2,mTOR,p70 S6K,"BUR1998, HAR1998",,,,
2,mTOR,autophagy,"MA2026, RAV2004",,,,
2,mTOR,amyloid-β,"CAC2010, SPI2010",,,,
2,mTOR,TSC1,"CHE2009, IYE2012",,,,
2,mTOR,S6K1,"FIN2002, HOL2005",,,,
2,mTOR,FKBP12,"BRO1994, SAB1995",,,,
2,TOR,Sch9,"KAE2005, POW2006",,,,
2,S6K1,CAD,"BEN2013, ROB2013",,,,
2,LC3B,p62,"VER2026, VERMA2026",,,,
2,GATOR2,Rag,"CHA2014, WOL2015",,,,
2,GATOR,Rag,"PAR2014, PEN2017",,,,
2,Akt,RTK,"ORE2006, ROD2011",,,,
1,ribosome,Akt,ZIN2011,,,,
1,raptor,p70 S6K,NOJ2003,,,,
1,raptor,Rag-Ragulator,ROG2019,,,,
1,raptor,GβL,KIM2003,,,,
1,raptor,4EBP1,HARA2002,,,,
1,raptor,4E-BP1,SCH2003,,,,
1,purine biosynthesis,mitochondria,GIL2026,,,,
1,p62,Beclin-1 autophagy,VER2026,,,,
1,p62,Beclin-1,VERMA2026,,,,
1,mitophagy,ceramide,SONH2026,,,,
1,mitochondrial biogenesis,ROS,CHE2008,,,,
1,mTORC2,ribosome,ZIN2011,,,,
1,mTORC2,mSin1,FRI2006,,,,
1,mTORC2,SIN1,LIU2015,,,,
1,mTORC2,SGK1,GAR2008,,,,
1,mTORC2,PIP3,GAN2011,,,,
1,mTORC2,Akt-FOXO,GUE2006,,,,
1,mTORC1 Ragulator complex,cGAS-STING,LV2026,,,,
1,mTORC1,nucleotide synthesis,VAL2017,,,,
1,mTORC1,lipin1,PET2011,,,,
1,mTORC1,eIF4A,JIN2026,,,,
1,mTORC1,amino-acid transporters,GOB2016,,,,
1,mTORC1,ULK1-Atg13-FIP200,HOS2009,,,,
1,mTORC1,TSC2,EHN2008,,,,
1,mTORC1,TSC complex,JOS2024,,,,
1,mTORC1,Spalt-related,DEN2026,,,,
1,mTORC1,SREBP,POR2008,,,,
1,mTORC1,PTEN-Akt,ZHO2009,,,,
1,mTORC1,PPARα,SEN2010,,,,
1,mTORC1,MAPK,CAR2008,,,,
1,mTORC1,IMP dehydrogenase,GIL2026,,,,
1,mTORC1,IL1A,LAB2015,,,,
1,mTORC1,GATOR1 complex,MARCHANT2026,,,,
1,mTORC1,Akt,MEI2008,,,,
1,mTORC1,ATF4,BEN2016,,,,
1,mTOR-JAK,STAT,BANERJEE2026,,,,
1,mTOR,mTORC1,KRA2018,,,,
1,mTOR,mLST8,YAN2013,,,,
1,mTOR,autophagic lysosome reformation,YUX2010,,,,
1,mTOR,YY1,CUN2007,,,,
1,mTOR,ULK1-Atg13-FIP200,GAN2009,,,,
1,mTOR,Tau,TAN2024,,,,
1,mTOR,TFEB,GAO2026,,,,
1,mTOR,REDD1,BRU2004,,,,
1,mTOR,PHAS-I,BRU1997,,,,
1,mTOR,LC3B,VER2026,,,,
1,mTOR,LAMTOR1,MUT2026,,,,
1,mTOR,IRS-1,ORE2006,,,,
1,mTOR,FLCN,LI2026,,,,
1,mTOR,Akt,MAJ2004,,,,
1,mTOR,4EBP-eIF4E,HSI2010,,,,
1,mTOR,4E-BP–eIF4E translation,HSI2012,,,,
1,mTOR,4E-BP1,GIN1999,,,,
1,mTOR,4E-BP,MAX2009,,,,
1,mSin1,Akt,FRI2006,,,,
1,lysosomal amino acid efflux,mTORC1,YIN2026,,,,
1,lipin1,SREBP,PET2011,,,,
1,leucine,mTORC1,SIN2013,,,,
1,leucine,GATOR2,SAX2015,,,,
1,eIF4A,4E-BP1,JIN2026,,,,
1,autophagy,insulin-IGF,MEL2003,,,,
1,autophagy,TRIB3-p62,MA2026,,,,
1,arginine,mTORC1,LEI2018,,,,
1,amyloid-β,Tau,CAC2010,,,,
1,YY1,PGC-1α,CUN2007,,,,
1,ULK1,mitophagy,SONH2026,,,,
1,ULK1,AMPK,LOF2011,,,,
1,ULK1,AMBRA1,NAZ2013,,,,
1,TSC2,mTORC1,DEM2016,,,,
1,TSC2,mTOR,INOK2003,,,,
1,TSC1-TSC2-TBC1D7,Rheb,DIB2012,,,,
1,TSC1-TSC2,mTOR-S6K-4EBP,GAR2003,,,,
1,TSC-mTOR,mitochondrial biogenesis,CHE2008,,,,
1,TSC-mTOR,NF-κB,WEI2008,,,,
1,TSC complex,Rheb,MEN2014,,,,
1,TSC,Rag,HOW2017,,,,
1,TORC2,SIN1,YAN2006,,,,
1,TORC1,TORC2 substrates,BAT2022,,,,
1,TORC1,SKN-1,ROB2012,,,,
1,TORC1,Gtr1,PAN2013,,,,
1,TOR,Lst8,BAR2016,,,,
1,TFEB,autophagy-lysosome,SET2011,,,,
1,TFEB,GADD45alpha,GAO2026,,,,
1,TFEB,FLCN,NAP2020,,,,
1,Spalt-related,FoxO,DEN2026,,,,
1,Slc7a5,leucine,SIN2013,,,,
1,Sestrins,GATOR2,CHA2014,,,,
1,Sestrins,GATOR,PAR2014,,,,
1,SZT2,GATOR,PEN2017,,,,
1,SREBP,Akt,POR2008,,,,
1,SLC38A9,mTORC1,WYA2017,,,,
1,SLC38A9,arginine,LEI2018,,,,
1,SLC36A1,lysosomal amino acid efflux,YIN2026,,,,
1,SKN-1,DAF-16,ROB2012,,,,
1,SIN1,PtdIns P3,LIU2015,,,,
1,SIN1,Akt,YAN2006,,,,
1,SH3BP4,Rag GTPase,KIM2012,,,,
1,S6K1,mTOR,SEL2009,,,,
1,S6K1,eIF3,HOL2005,,,,
1,S6K1,PDCD4,DOR2006,,,,
1,S6K1,4EBP1-eIF4E,FIN2002,,,,
1,S6K,TOR,STO2003,,,,
1,Rheb,mTOR,TEE2003,,,,
1,Rheb,TOR,SAU2003,,,,
1,Rheb,S6K,STO2003,,,,
1,Rheb,PRAS40,YAN2017,,,,
1,Rapamycin,FRAP,CHO1996,,,,
1,RagD,mTORC1,HAN2012,,,,
1,RagC-RagD,mTORC1,TSU2013,,,,
1,RagC,raptor,ANA2019,,,,
1,RagC,mTORC1,LAW2019,,,,
1,RagA,mTORC1,SHE2018,,,,
1,RagA,RagC,ANA2019,,,,
1,Rag GTPases,raptor,SAN2008,,,,
1,Rag GTPases,TSC2,DEM2014,,,,
1,Rag GTPase,mTORC1,KIM2012,,,,
