sid,tier,chars_total,chars_abstract,chars_unique,ratio_unique,n_entity_links,has_extracted,has_academy_link,chars_tier_why,chars_atlas_block,n_atlas_links
ABR2026,D,2779,590,343,0.1234,0,1,0,161,0,0
ALS2026,C,3259,579,492,0.151,0,0,0,300,0,0
ANA2019,D,2783,628,292,0.1049,0,1,0,225,0,0
ARA2009,C,3276,451,893,0.2726,1,1,0,227,199,2
ARR2015,C,4546,473,1755,0.3861,0,1,0,227,352,2
AYL2015,D,2605,631,272,0.1044,0,1,0,225,0,0
BAB2025,C,3787,473,1186,0.3132,1,1,0,255,59,1
BAN2014,B,3604,537,543,0.1507,2,1,0,166,382,4
BANERJEE2026,D,2769,315,447,0.1614,1,1,0,161,19,1
BAR2012,D,2883,568,321,0.1113,1,1,1,223,131,2
BAR2013,D,3269,535,547,0.1673,2,1,1,237,134,3
BAR2016,D,2631,453,286,0.1087,0,1,0,225,0,0
BAS2012,B,3778,292,1082,0.2864,3,1,0,166,499,7
BAT2022,D,2534,634,246,0.0971,0,1,0,161,0,0
BCH2026,C,3056,470,552,0.1806,2,1,0,275,31,2
BEN2008,C,3021,633,394,0.1304,0,1,0,253,0,0
BEN2013,D,2582,355,318,0.1232,1,1,0,223,35,1
BEN2016,D,2639,373,339,0.1285,1,1,0,223,35,1
BET2013,D,3069,617,307,0.1,0,1,0,223,0,0
BETZ2013,D,2577,630,243,0.0943,0,1,0,161,0,0
BIS2008,B,3233,586,747,0.2311,1,1,0,166,19,1
BIS2013,B,3319,500,523,0.1576,3,1,0,166,192,4
BIT2016,C,3858,452,1080,0.2799,3,1,0,191,518,7
BJE2010,C,3724,610,1023,0.2747,4,1,0,245,207,5
BLA2006,D,2855,445,400,0.1401,3,1,0,161,244,4
BO2026,D,2945,360,413,0.1402,2,1,0,236,29,2
BOD2001,C,2909,525,332,0.1141,1,1,1,235,127,2
BOU2020,D,3445,606,592,0.1718,1,1,0,290,184,2
BRO1994,D,2641,529,301,0.114,0,1,0,230,0,0
BRO1996,C,2577,339,484,0.1878,1,1,0,264,52,1
BRU1997,D,2729,554,308,0.1129,0,1,0,224,0,0
BRU1999,D,3108,563,584,0.1879,2,1,0,256,27,2
BRU2004,D,2849,587,283,0.0993,0,1,0,223,36,0
BUR1998,D,2801,507,309,0.1103,0,1,0,216,0,0
CAC2010,C,3583,632,560,0.1563,4,1,0,245,457,6
CAN2002,D,2717,599,375,0.138,2,1,1,161,122,3
CAO2026,D,2918,399,509,0.1744,0,1,0,161,0,0
CAO2026B,C,3054,461,448,0.1467,0,1,0,293,0,0
CAR2008,D,3046,612,318,0.1044,0,1,1,220,121,1
CAS2009,C,3339,634,661,0.198,1,1,0,227,227,2
CHA2014,D,2886,632,291,0.1008,0,1,0,223,0,0
CHA2016,D,3048,553,471,0.1545,2,1,1,234,132,3
CHE2008,C,3783,478,1140,0.3013,2,1,0,255,31,2
CHE2009,C,2953,449,652,0.2208,0,1,0,233,0,0
CHE2018,D,2673,633,282,0.1055,0,1,0,225,0,0
CHEN2026,C,3043,574,394,0.1295,0,1,0,247,20,0
CHEN2026B,D,2845,402,472,0.1659,0,1,0,244,0,0
CHEN2026C,C,3500,556,720,0.2057,0,1,0,284,0,0
CHI2012,D,2615,624,241,0.0922,0,1,0,161,0,0
CHO1996,D,3126,622,541,0.1731,2,1,0,250,36,2
CHR2009,D,2937,489,331,0.1127,0,1,0,231,0,0
CHU1992,D,2724,499,301,0.1105,0,1,0,225,0,0
CHU2019,B,3867,421,1093,0.2826,3,1,0,166,399,5
CON2021,D,2923,500,315,0.1078,0,1,0,228,0,0
CUI2026,C,3013,529,437,0.145,0,1,0,261,0,0
CUN2007,D,3153,597,582,0.1846,3,1,0,238,63,3
DAB2026,D,2546,0,332,0.1304,2,0,0,262,26,2
DEL2009,D,2905,585,390,0.1343,3,1,0,223,56,3
DEL2011,C,2917,564,360,0.1234,0,1,0,227,0,0
DEM2009,D,3064,457,579,0.189,4,1,0,233,264,5
DEM2014,D,2734,562,278,0.1017,0,1,0,223,0,0
DEM2016,D,2939,583,360,0.1225,2,1,1,223,148,3
DEMMINGS2026,D,3293,537,488,0.1482,0,1,0,283,0,0
DEN2026,C,3130,542,547,0.1748,2,1,0,245,74,2
DEOLIVEIRA2026,D,3137,612,359,0.1144,0,1,0,245,0,0
DIB2012,D,2769,502,279,0.1008,0,1,1,223,131,1
DIB2013,D,2542,516,228,0.0897,0,1,0,161,0,0
DIB2015,D,2084,195,172,0.0825,1,1,0,161,19,1
DOR2006,D,2686,438,347,0.1292,2,1,0,223,43,2
DRU2009,B,3487,550,845,0.2423,4,1,0,166,193,5
DUR2012,D,2602,519,311,0.1195,0,1,0,223,24,0
EFE2012,C,2952,588,476,0.1612,0,1,0,247,0,0
EGA2010,D,2836,630,288,0.1016,0,1,0,223,0,0
EHN2008,C,2947,579,266,0.0903,0,1,0,237,244,1
EVA2026,D,3361,421,803,0.2389,0,1,0,304,0,0
FAN2026,D,3321,583,719,0.2165,2,1,0,268,50,2
FEL2009,D,3183,601,576,0.181,4,1,0,241,52,4
FIN2002,D,2692,477,309,0.1148,0,1,0,223,0,0
FLY2013,C,3418,516,986,0.2885,4,1,0,249,60,4
