sid,tier,chars_total,chars_abstract,chars_unique,ratio_unique,n_entity_links,has_extracted,has_academy_link
ABR2026,D,2779,590,343,0.1234,0,1,0
ALS2026,C,3259,579,492,0.151,0,0,0
ANA2019,D,2783,628,292,0.1049,0,1,0
ARA2009,C,3276,451,889,0.2714,0,1,0
ARR2015,C,4546,473,1755,0.3861,0,1,0
AYL2015,D,2605,631,272,0.1044,0,1,0
BAB2025,C,3787,473,1142,0.3016,0,1,0
BAN2014,B,3604,537,524,0.1454,0,1,0
BANERJEE2026,D,2769,315,443,0.16,0,1,0
BAR2012,D,2883,568,313,0.1086,0,1,1
BAR2013,D,3269,535,515,0.1575,0,1,1
BAR2016,D,2631,453,286,0.1087,0,1,0
BAS2012,B,3778,292,1051,0.2782,0,1,0
BAT2022,D,2534,634,246,0.0971,0,1,0
BCH2026,C,3056,470,536,0.1754,0,1,0
BEN2008,C,3021,633,394,0.1304,0,1,0
BEN2013,D,2582,355,298,0.1154,0,1,0
BEN2016,D,2639,373,319,0.1209,0,1,0
BET2013,D,3069,617,307,0.1,0,1,0
BETZ2013,D,2577,630,243,0.0943,0,1,0
BIS2008,B,3233,586,743,0.2298,0,1,0
BIS2013,B,3319,500,454,0.1368,0,1,0
BIT2016,C,3858,452,1056,0.2737,0,1,0
BJE2010,C,3724,610,987,0.265,0,1,0
BLA2006,D,2855,445,379,0.1327,0,1,0
BO2026,D,2945,360,399,0.1355,0,1,0
BOD2001,C,2909,525,315,0.1083,0,1,1
BOU2020,D,3445,606,588,0.1707,0,1,0
BRO1994,D,2641,529,301,0.114,0,1,0
BRO1996,C,2577,339,447,0.1735,0,1,0
BRU1997,D,2729,554,308,0.1129,0,1,0
BRU1999,D,3108,563,572,0.184,0,1,0
BRU2004,D,2849,587,262,0.092,0,1,0
BUR1998,D,2801,507,309,0.1103,0,1,0
CAC2010,C,3583,632,514,0.1435,0,1,0
CAN2002,D,2717,599,363,0.1336,0,1,1
CAO2026,D,2918,399,509,0.1744,0,1,0
CAO2026B,C,3054,461,448,0.1467,0,1,0
CAR2008,D,3046,612,302,0.0991,0,1,1
CAS2009,C,3339,634,657,0.1968,0,1,0
CHA2014,D,2886,632,291,0.1008,0,1,0
CHA2016,D,3048,553,441,0.1447,0,1,1
CHE2008,C,3783,478,1124,0.2971,0,1,0
CHE2009,C,2953,449,652,0.2208,0,1,0
CHE2018,D,2673,633,282,0.1055,0,1,0
CHEN2026,C,3043,574,389,0.1278,0,1,0
CHEN2026B,D,2845,402,472,0.1659,0,1,0
CHEN2026C,C,3500,556,720,0.2057,0,1,0
CHI2012,D,2615,624,241,0.0922,0,1,0
CHO1996,D,3126,622,520,0.1663,0,1,0
CHR2009,D,2937,489,331,0.1127,0,1,0
CHU1992,D,2724,499,301,0.1105,0,1,0
CHU2019,B,3867,421,1046,0.2705,0,1,0
CON2021,D,2923,500,315,0.1078,0,1,0
CUI2026,C,3013,529,437,0.145,0,1,0
CUN2007,D,3153,597,534,0.1694,0,1,0
DAB2026,D,2546,0,321,0.1261,0,0,0
DEL2009,D,2905,585,349,0.1201,0,1,0
DEL2011,C,2917,564,360,0.1234,0,1,0
DEM2009,D,3064,457,538,0.1756,0,1,0
DEM2014,D,2734,562,278,0.1017,0,1,0
DEM2016,D,2939,583,327,0.1113,0,1,1
DEMMINGS2026,D,3293,537,488,0.1482,0,1,0
DEN2026,C,3130,542,488,0.1559,0,1,0
DEOLIVEIRA2026,D,3137,612,359,0.1144,0,1,0
DIB2012,D,2769,502,273,0.0986,0,1,1
DIB2013,D,2542,516,228,0.0897,0,1,0
DIB2015,D,2084,195,168,0.0806,0,1,0
DOR2006,D,2686,438,319,0.1188,0,1,0
DRU2009,B,3487,550,797,0.2286,0,1,0
DUR2012,D,2602,519,302,0.1161,0,1,0
EFE2012,C,2952,588,476,0.1612,0,1,0
EGA2010,D,2836,630,288,0.1016,0,1,0
EHN2008,C,2947,579,266,0.0903,0,1,0
EVA2026,D,3361,421,803,0.2389,0,1,0
FAN2026,D,3321,583,684,0.206,0,1,0
FEL2009,D,3183,601,539,0.1693,0,1,0
FIN2002,D,2692,477,309,0.1148,0,1,0
FLY2013,C,3418,516,941,0.2753,0,1,0
FOK2014,C,3417,631,667,0.1952,0,1,0
FON2010,D,2903,493,606,0.2087,0,1,0
FOR2010,C,3216,543,530,0.1648,0,1,0
