sid,tier,chars_total,chars_abstract,chars_unique,ratio_unique,n_entity_links,has_extracted,has_academy_link,chars_tier_why,chars_atlas_block,n_atlas_links
ABR2026,D,2662,1384,305,0.1146,0,0,0,0,0,0
ALS2026,C,2925,1333,492,0.1682,0,0,0,0,0,0
ANA2019,D,2211,901,292,0.1321,0,1,0,0,0,0
ARA2009,C,2990,1767,277,0.0926,1,1,0,0,0,0
ARR2015,C,3409,1598,792,0.2323,0,1,0,0,0,0
AYL2015,D,2073,866,272,0.1312,0,1,0,0,0,0
BAB2025,C,3116,1297,717,0.2301,1,1,0,0,0,0
BAN2014,B,3833,2139,543,0.1417,2,1,0,0,0,0
BANERJEE2026,D,1848,315,447,0.2419,1,1,0,0,0,0
BAR2012,D,2448,995,321,0.1311,1,1,1,0,0,0
BAR2013,D,3053,1257,547,0.1792,2,1,1,0,0,0
BAR2016,D,2327,1004,286,0.1229,0,1,0,0,0,0
BAS2012,B,3901,2216,559,0.1433,3,1,0,0,0,0
BAT2022,D,2039,866,246,0.1206,0,1,0,0,0,0
BCH2026,C,3226,1612,552,0.1711,2,1,0,0,0,0
BEN2008,C,2505,1080,394,0.1573,0,1,0,0,0,0
BEN2013,D,2196,845,318,0.1448,1,1,0,0,0,0
BEN2016,D,2396,1018,339,0.1415,1,1,0,0,0,0
BET2013,D,2523,1020,307,0.1217,0,1,0,0,0,0
BETZ2013,D,1950,721,243,0.1246,0,1,0,0,0,0
BIS2008,B,3030,1677,274,0.0904,1,1,0,0,0,0
BIS2013,B,4063,2373,523,0.1287,3,1,0,0,0,0
BIT2016,C,2370,997,372,0.157,3,1,0,0,0,0
BJE2010,C,2325,953,339,0.1458,4,1,0,0,0,0
BLA2006,D,3014,1622,400,0.1327,3,1,0,0,0,0
BO2026,D,1907,360,413,0.2166,2,1,0,0,0,0
BOD2001,C,2694,1246,332,0.1232,1,1,1,0,0,0
BOU2020,D,3002,1289,592,0.1972,1,1,0,0,0,0
BRO1994,D,2423,1153,301,0.1242,0,1,0,0,0,0
BRO1996,C,2032,607,484,0.2382,1,1,0,0,0,0
BRU1997,D,2133,832,308,0.1444,0,1,0,0,0,0
BRU1999,D,2420,798,584,0.2413,2,1,0,0,0,0
BRU2004,D,2743,1391,283,0.1032,0,1,0,0,0,0
BUR1998,D,2824,1372,309,0.1094,0,1,0,0,0,0
CAC2010,C,2948,1299,560,0.19,4,1,0,0,0,0
CAN2002,D,1999,599,375,0.1876,2,1,1,0,0,0
CAO2026,D,2532,922,467,0.1844,0,0,0,0,0,0
CAO2026B,C,2537,990,448,0.1766,0,1,0,0,0,0
CAR2008,D,2805,1290,318,0.1134,0,1,1,0,0,0
CAS2009,C,2361,1086,281,0.119,1,1,0,0,0,0
CHA2014,D,2401,1052,291,0.1212,0,1,0,0,0,0
CHA2016,D,2690,1038,471,0.1751,2,1,1,0,0,0
CHE2008,C,2701,969,579,0.2144,2,1,0,0,0,0
CHE2009,C,2243,960,290,0.1293,0,1,0,0,0,0
CHE2018,D,2653,1390,282,0.1063,0,1,0,0,0,0
CHEN2026,C,2361,899,394,0.1669,0,1,0,0,0,0
CHEN2026B,D,1907,402,472,0.2475,0,1,0,0,0,0
CHEN2026C,C,3203,1333,720,0.2248,0,1,0,0,0,0
CHI2012,D,1989,763,241,0.1212,0,1,0,0,0,0
CHO1996,D,2495,906,541,0.2168,2,1,0,0,0,0
CHR2009,D,2945,1524,331,0.1124,0,1,0,0,0,0
CHU1992,D,2333,1025,301,0.129,0,1,0,0,0,0
CHU2019,B,3429,1752,546,0.1592,3,1,0,0,0,0
