airtable_id,Study_ID,Title,Authors,Year,Journal,Category,Model,Related_Entities,Evidence_Tier,Pyramid_Level,Peer_Reviewed,DOI,PMID,PMCID,fulltext_pmc_available,Abstract_PubMed,Key_Finding,embedding_text
rec01xkVnPNb3s6ce,DEM2016,Lysosomal recruitment of TSC2 is a universal response to cellular stress,Demetriades C; Teleman AA et al.,2016,Nature communications,Mechanism,Mammalian cells,"TSC2, lysosome, stress",D - Mechanistic/Review,5 - Mechanistic / In Vitro,Yes,10.1038/ncomms10662,26868506,PMC4754342,True,"mTORC1 promotes cell growth and is therefore inactivated upon unfavourable growth conditions. Signalling pathways downstream of most cellular stresses converge on TSC1/2, which serves as an integration point that inhibits mTORC1. The TSC1/2 complex was shown to translocate to lysosomes to inactivate mTORC1 in response to two stresses: amino-acid starvation and growth factor removal. Whether other stresses also regulate TSC2 localization is not known. How TSC2 localization responds to combinations of stresses and other stimuli is also unknown. We show that both amino acids and growth factors are required simultaneously to maintain TSC2 cytoplasmic; when one of the two is missing, TSC2 relocalizes to lysosomes. Furthermore, multiple different stresses that inhibit mTORC1 also drive TSC2 lysosomal accumulation. Our findings indicate that lysosomal recruitment of TSC2 is a universal response to stimuli that inactivate mTORC1, and that the presence of any single stress is sufficient to cause TSC2 lysosomal localization.",Lysosomal recruitment of TSC2 is a universal response to cellular stress that inhibits mTORC1.,"Lysosomal recruitment of TSC2 is a universal response to cellular stress
Key finding: Lysosomal recruitment of TSC2 is a universal response to cellular stress that inhibits mTORC1.
Abstract: mTORC1 promotes cell growth and is therefore inactivated upon unfavourable growth conditions. Signalling pathways downstream of most cellular stresses converge on TSC1/2, which serves as an integration point that inhibits mTORC1. The TSC1/2 complex was shown to translocate to lysosomes to inactivate mTORC1 in response to two stresses: amino-acid starvation and growth factor removal. Whether other stresses also regulate TSC2 localization is not known. How TSC2 localization responds to combinations of stresses and other stimuli is also unknown. We show that both amino acids and growth factors are required simultaneously to maintain TSC2 cytoplasmic; when one of the two is missing, TSC2 relocalizes to lysosomes. Furthermore, multiple different stresses that inhibit mTORC1 also drive TSC2 lysosomal accumulation. Our findings indicate that lysosomal recruitment of TSC2 is a universal response to stimuli that inactivate mTORC1, and that the presence of any single stress is sufficient to cause TSC2 lysosomal localization."
rec0FN7kPUpOv9cat,INOK2003,Rheb GTPase is a direct target of TSC2 GAP activity and regulates mTOR signaling,Inoki K; Guan KL et al.,2003,Genes & development,Mechanism,In vitro; Drosophila,"Rheb, TSC2 (GAP)",D - Mechanistic/Review,5 - Mechanistic / In Vitro,Yes,10.1101/gad.1110003,12869586,PMC196227,True,"Tuberous sclerosis complex (TSC) is a genetic disease caused by mutation in either TSC1 or TSC2. The TSC1 and TSC2 gene products form a functional complex and inhibit phosphorylation of S6K and 4EBP1. These functions of TSC1/TSC2 are likely mediated by mTOR. Here we report that TSC2 is a GTPase-activating protein (GAP) toward Rheb, a Ras family GTPase. Rheb stimulates phosphorylation of S6K and 4EBP1. This function of Rheb is blocked by rapamycin and dominant-negative mTOR. Rheb stimulates the phosphorylation of mTOR and plays an essential role in regulation of S6K and 4EBP1 in response to nutrients and cellular energy status. Our data demonstrate that Rheb acts downstream of TSC1/TSC2 and upstream of mTOR to regulate cell growth.",TSC2 is a GAP for Rheb; loss of TSC2 raises Rheb-GTP and constitutively activates mTOR.,"Rheb GTPase is a direct target of TSC2 GAP activity and regulates mTOR signaling
Key finding: TSC2 is a GAP for Rheb; loss of TSC2 raises Rheb-GTP and constitutively activates mTOR.
Abstract: Tuberous sclerosis complex (TSC) is a genetic disease caused by mutation in either TSC1 or TSC2. The TSC1 and TSC2 gene products form a functional complex and inhibit phosphorylation of S6K and 4EBP1. These functions of TSC1/TSC2 are likely mediated by mTOR. Here we report that TSC2 is a GTPase-activating protein (GAP) toward Rheb, a Ras family GTPase. Rheb stimulates phosphorylation of S6K and 4EBP1. This function of Rheb is blocked by rapamycin and dominant-negative mTOR. Rheb stimulates the phosphorylation of mTOR and plays an essential role in regulation of S6K and 4EBP1 in response to nutrients and cellular energy status. Our data demonstrate that Rheb acts downstream of TSC1/TSC2 and upstream of mTOR to regulate cell growth."
rec0Htllag8qTyRB4,INO2002,TSC2 is phosphorylated and inhibited by Akt and suppresses mTOR signalling,Inoki K; Guan KL et al.,2002,Nature Cell Biology,Mechanism,Human cell lines,PI3K; Akt/PKB; TSC1/TSC2; mTORC1,D - Mechanistic/Review,5 - Mechanistic / In Vitro,Yes,10.1038/ncb839,,,False,"Tuberous sclerosis (TSC) is an autosomal dominant disorder characterized by the formation of hamartomas in a wide range of human tissues. Mutation in either the TSC1 or TSC2 tumour suppressor gene is responsible for both the familial and sporadic forms of this disease. TSC1 and TSC2 proteins form a physical and functional complex in vivo. Here, we show that TSC1-TSC2 inhibits the p70 ribosomal protein S6 kinase 1 (an activator of translation) and activates the eukaryotic initiation factor 4E binding protein 1 (4E-BP1, an inhibitor of translational initiation). These functions of TSC1-TSC2 are mediated by inhibition of the mammalian target of rapamycin (mTOR). Furthermore, TSC2 is directly phosphorylated by Akt, which is involved in stimulating cell growth and is activated by growth stimulating signals, such as insulin. TSC2 is inactivated by Akt-dependent phosphorylation, which destabilizes TSC2 and disrupts its interaction with TSC1. Our data indicate a molecular mechanism for TSC2 in insulin signalling, tumour suppressor functions and in the inhibition of cell growth.","Akt directly phosphorylates and inactivates TSC2, disrupting the TSC1-TSC2 complex and releasing its inhibition of mTOR - the link between growth-factor/insulin signaling and mTORC1 activation.","TSC2 is phosphorylated and inhibited by Akt and suppresses mTOR signalling
Key finding: Akt directly phosphorylates and inactivates TSC2, disrupting the TSC1-TSC2 complex and releasing its inhibition of mTOR - the link between growth-factor/insulin signaling and mTORC1 activation.
Abstract: Tuberous sclerosis (TSC) is an autosomal dominant disorder characterized by the formation of hamartomas in a wide range of human tissues. Mutation in either the TSC1 or TSC2 tumour suppressor gene is responsible for both the familial and sporadic forms of this disease. TSC1 and TSC2 proteins form a physical and functional complex in vivo. Here, we show that TSC1-TSC2 inhibits the p70 ribosomal protein S6 kinase 1 (an activator of translation) and activates the eukaryotic initiation factor 4E binding protein 1 (4E-BP1, an inhibitor of translational initiation). These functions of TSC1-TSC2 are mediated by inhibition of the mammalian target of rapamycin (mTOR). Furthermore, TSC2 is directly phosphorylated by Akt, which is involved in stimulating cell growth and is activated by growth stimulating signals, such as insulin. TSC2 is inactivated by Akt-dependent phosphorylation, which destabilizes TSC2 and disrupts its interaction with TSC1. Our data indicate a molecular mechanism for TSC2 in insulin signalling, tumour suppressor functions and in the inhibition of cell growth."
rec0iqPBrFTHht4zq,LOF2011,Ulk1-mediated phosphorylation of AMPK constitutes a negative regulatory feedback loop,Löffler AS et al.,2011,Autophagy,Mechanism,Human cells; mouse,ULK1; AMPK; Autophagy,D - Mechanistic/Review,5 - Mechanistic / In Vitro,Yes,10.4161/auto.7.7.15451,,,False,"Unc-51-like kinase 1 (Ulk1) plays a central role in autophagy induction. It forms a stable complex with Atg13 and focal adhesion kinase (FAK) family interacting protein of 200 kDa (FIP 200). This complex is negatively regulated by the mammalian target of rapamycin complex 1 (mTORC1) in a nutrient-dependent way. AMP-activated protein kinase (AMPK), which is activated by LKB1/Strad/Mo25 upon high AMP levels, stimulates autophagy by inhibiting mTORC1. Recently, it has been described that AMPK and Ulk1 interact and that the latter is phosphorylated by AMPK. This phosphorylation leads to the direct activation of Ulk1 by AMPK bypassing mTOR-inhibition. Here we report that Ulk1/2 in turn phosphorylates all three subunits of AMPK and thereby negatively regulates its activity. Thus, we propose that Ulk1 is not only involved in the induction of autophagy, but also in terminating signaling events that trigger autophagy. In our model, phosphorylation of AMPK by Ulk1 represents a negative feedback circuit.","ULK1 phosphorylates and inhibits AMPK in return, showing autophagy signaling is a bidirectional feedback loop, not a one-way switch.","Ulk1-mediated phosphorylation of AMPK constitutes a negative regulatory feedback loop
Key finding: ULK1 phosphorylates and inhibits AMPK in return, showing autophagy signaling is a bidirectional feedback loop, not a one-way switch.
Abstract: Unc-51-like kinase 1 (Ulk1) plays a central role in autophagy induction. It forms a stable complex with Atg13 and focal adhesion kinase (FAK) family interacting protein of 200 kDa (FIP 200). This complex is negatively regulated by the mammalian target of rapamycin complex 1 (mTORC1) in a nutrient-dependent way. AMP-activated protein kinase (AMPK), which is activated by LKB1/Strad/Mo25 upon high AMP levels, stimulates autophagy by inhibiting mTORC1. Recently, it has been described that AMPK and Ulk1 interact and that the latter is phosphorylated by AMPK. This phosphorylation leads to the direct activation of Ulk1 by AMPK bypassing mTOR-inhibition. Here we report that Ulk1/2 in turn phosphorylates all three subunits of AMPK and thereby negatively regulates its activity. Thus, we propose that Ulk1 is not only involved in the induction of autophagy, but also in terminating signaling events that trigger autophagy. In our model, phosphorylation of AMPK by Ulk1 represents a negative feedback circuit."
rec0t9OCPe4Fa74bt,KIM2003,"GbetaL, a positive regulator of the rapamycin-sensitive pathway required for the nutrient-sensitive interaction between raptor and mTOR",Kim DH; Sarbassov DD; Ali SM; Latek RR; Guntur KVP; Erdjument-Bromage H; Tempst P; Sabatini DM,2003,Molecular Cell,Mechanism,Human cells (biochemistry),mLST8; mTORC1; Raptor; mTOR,D - Mechanistic/Review,5 - Mechanistic / In Vitro,Yes,10.1016/s1097-2765(03)00114-x,,,False,"mTOR and raptor are components of a signaling pathway that regulates mammalian cell growth in response to nutrients and growth factors. Here, we identify a member of this pathway, a protein named GbetaL that binds to the kinase domain of mTOR and stabilizes the interaction of raptor with mTOR. Like mTOR and raptor, GbetaL participates in nutrient- and growth factor-mediated signaling to S6K1, a downstream effector of mTOR, and in the control of cell size. The binding of GbetaL to mTOR strongly stimulates the kinase activity of mTOR toward S6K1 and 4E-BP1, an effect reversed by the stable interaction of raptor with mTOR. Interestingly, nutrients and rapamycin regulate the association between mTOR and raptor only in complexes that also contain GbetaL. Thus, we propose that the opposing effects on mTOR activity of the GbetaL- and raptor-mediated interactions regulate the mTOR pathway.","Discovered mLST8 (GbetaL), the third core subunit that clamps onto mTOR's kinase domain and stabilizes the complex. It fine-tunes how tightly Raptor holds mTOR in response to nutrients - a small but essential cog that later proved especially critical for the mTORC2 complex.","GbetaL, a positive regulator of the rapamycin-sensitive pathway required for the nutrient-sensitive interaction between raptor and mTOR
Key finding: Discovered mLST8 (GbetaL), the third core subunit that clamps onto mTOR's kinase domain and stabilizes the complex. It fine-tunes how tightly Raptor holds mTOR in response to nutrients - a small but essential cog that later proved especially critical for the mTORC2 complex.
Abstract: mTOR and raptor are components of a signaling pathway that regulates mammalian cell growth in response to nutrients and growth factors. Here, we identify a member of this pathway, a protein named GbetaL that binds to the kinase domain of mTOR and stabilizes the interaction of raptor with mTOR. Like mTOR and raptor, GbetaL participates in nutrient- and growth factor-mediated signaling to S6K1, a downstream effector of mTOR, and in the control of cell size. The binding of GbetaL to mTOR strongly stimulates the kinase activity of mTOR toward S6K1 and 4E-BP1, an effect reversed by the stable interaction of raptor with mTOR. Interestingly, nutrients and rapamycin regulate the association between mTOR and raptor only in complexes that also contain GbetaL. Thus, we propose that the opposing effects on mTOR activity of the GbetaL- and raptor-mediated interactions regulate the mTOR pathway."
rec1Qkbx7QrjrJGrF,GWI2008,AMPK phosphorylation of raptor mediates a metabolic checkpoint,Gwinn DM; Shackelford DB; Egan DF; Mihaylova MM; Mery A; Vasquez DS; Turk BE; Shaw RJ,2008,Molecular Cell,Mechanism,Human/mouse cells (biochemistry),AMPK; Raptor; mTORC1; TSC1/TSC2,D - Mechanistic/Review,5 - Mechanistic / In Vitro,Yes,10.1016/j.molcel.2008.03.003,18439900,PMC2674027,True,"AMPK is a highly conserved sensor of cellular energy status that is activated under conditions of low intracellular ATP. AMPK responds to energy stress by suppressing cell growth and biosynthetic processes, in part through its inhibition of the rapamycin-sensitive mTOR (mTORC1) pathway. AMPK phosphorylation of the TSC2 tumor suppressor contributes to suppression of mTORC1; however, TSC2-deficient cells remain responsive to energy stress. Using a proteomic and bioinformatics approach, we sought to identify additional substrates of AMPK that mediate its effects on growth control. We report here that AMPK directly phosphorylates the mTOR binding partner raptor on two well-conserved serine residues, and this phosphorylation induces 14-3-3 binding to raptor. The phosphorylation of raptor by AMPK is required for the inhibition of mTORC1 and cell-cycle arrest induced by energy stress. These findings uncover a conserved effector of AMPK that mediates its role as a metabolic checkpoint coordinating cell growth with energy status.","Found a SECOND way the energy sensor AMPK shuts mTORC1 down. Besides acting through TSC2, AMPK directly phosphorylates Raptor - the core mTORC1 subunit - to halt growth when energy runs low. This 'metabolic checkpoint' is exactly the switch that drugs like metformin and exercise tap into.","AMPK phosphorylation of raptor mediates a metabolic checkpoint
Key finding: Found a SECOND way the energy sensor AMPK shuts mTORC1 down. Besides acting through TSC2, AMPK directly phosphorylates Raptor - the core mTORC1 subunit - to halt growth when energy runs low. This 'metabolic checkpoint' is exactly the switch that drugs like metformin and exercise tap into.
Abstract: AMPK is a highly conserved sensor of cellular energy status that is activated under conditions of low intracellular ATP. AMPK responds to energy stress by suppressing cell growth and biosynthetic processes, in part through its inhibition of the rapamycin-sensitive mTOR (mTORC1) pathway. AMPK phosphorylation of the TSC2 tumor suppressor contributes to suppression of mTORC1; however, TSC2-deficient cells remain responsive to energy stress. Using a proteomic and bioinformatics approach, we sought to identify additional substrates of AMPK that mediate its effects on growth control. We report here that AMPK directly phosphorylates the mTOR binding partner raptor on two well-conserved serine residues, and this phosphorylation induces 14-3-3 binding to raptor. The phosphorylation of raptor by AMPK is required for the inhibition of mTORC1 and cell-cycle arrest induced by energy stress. These findings uncover a conserved effector of AMPK that mediates its role as a metabolic checkpoint coordinating cell growth with energy status."
rec2Cu2S2HsafRYNp,BRO1996,Dwarf mice and the ageing process,Brown-Borg HM; Bartke A et al.,1996,Nature,Animal,Ames dwarf mice (growth-hormone deficient),Growth hormone / IGF-1 axis; Longevity,C - Animal,4 - Animal Study,Yes,10.1038/384033a0,,,False,"(Brief communication; no formal abstract in PubMed — editorial summary.) This landmark report shows that Ames dwarf mice, which carry a mutation causing combined deficiency of growth hormone, prolactin and thyroid-stimulating hormone, live substantially longer than their normal littermates (both sexes). It was among the first demonstrations that genetically reduced growth hormone / IGF-1 endocrine signalling extends lifespan in a mammal, linking the somatotropic axis — upstream of PI3K-Akt-mTOR — to the ageing process and providing a foundational genetic model for the biology of ageing and longevity.",Mice with growth hormone deficiency lived substantially longer than normal littermates - founding observation linking reduced growth-signaling to mammalian longevity.,"Dwarf mice and the ageing process
Key finding: Mice with growth hormone deficiency lived substantially longer than normal littermates - founding observation linking reduced growth-signaling to mammalian longevity.
Abstract: (Brief communication; no formal abstract in PubMed — editorial summary.) This landmark report shows that Ames dwarf mice, which carry a mutation causing combined deficiency of growth hormone, prolactin and thyroid-stimulating hormone, live substantially longer than their normal littermates (both sexes). It was among the first demonstrations that genetically reduced growth hormone / IGF-1 endocrine signalling extends lifespan in a mammal, linking the somatotropic axis — upstream of PI3K-Akt-mTOR — to the ageing process and providing a foundational genetic model for the biology of ageing and longevity."
rec391snzMPPVCpVv,HSI2012,The translational landscape of mTOR signalling steers cancer initiation and metastasis,Hsieh AC; Liu Y; Edlind MP; Ingolia NT; Janes MR; Sher A; et al.; Ruggero D,2012,Nature,Mechanism,Mouse models + human prostate cancer,mTORC1; 4E-BP1; Prostate cancer,D - Mechanistic/Review,5 - Mechanistic / In Vitro,Yes,10.1038/nature10912,22367541,PMC3663483,True,"The mammalian target of rapamycin (mTOR) kinase is a master regulator of protein synthesis that couples nutrient sensing to cell growth and cancer. However, the downstream translationally regulated nodes of gene expression that may direct cancer development are poorly characterized. Using ribosome profiling, we uncover specialized translation of the prostate cancer genome by oncogenic mTOR signalling, revealing a remarkably specific repertoire of genes involved in cell proliferation, metabolism and invasion. We extend these findings by functionally characterizing a class of translationally controlled pro-invasion messenger RNAs that we show direct prostate cancer invasion and metastasis downstream of oncogenic mTOR signalling. Furthermore, we develop a clinically relevant ATP site inhibitor of mTOR, INK128, which reprograms this gene expression signature with therapeutic benefit for prostate cancer metastasis, for which there is presently no cure. Together, these findings extend our understanding of how the 'cancerous' translation machinery steers specific cancer cell behaviours, including metastasis, and may be therapeutically targeted.","Showed WHY mTOR-driven translation matters for cancer: in prostate cancer, oncogenic mTOR selectively translates a specific set of pro-invasion mRNAs that drive metastasis. An ATP-competitive mTOR inhibitor (INK128) reversed that signature - a therapeutic proof-of-concept.","The translational landscape of mTOR signalling steers cancer initiation and metastasis
Key finding: Showed WHY mTOR-driven translation matters for cancer: in prostate cancer, oncogenic mTOR selectively translates a specific set of pro-invasion mRNAs that drive metastasis. An ATP-competitive mTOR inhibitor (INK128) reversed that signature - a therapeutic proof-of-concept.
Abstract: The mammalian target of rapamycin (mTOR) kinase is a master regulator of protein synthesis that couples nutrient sensing to cell growth and cancer. However, the downstream translationally regulated nodes of gene expression that may direct cancer development are poorly characterized. Using ribosome profiling, we uncover specialized translation of the prostate cancer genome by oncogenic mTOR signalling, revealing a remarkably specific repertoire of genes involved in cell proliferation, metabolism and invasion. We extend these findings by functionally characterizing a class of translationally controlled pro-invasion messenger RNAs that we show direct prostate cancer invasion and metastasis downstream of oncogenic mTOR signalling. Furthermore, we develop a clinically relevant ATP site inhibitor of mTOR, INK128, which reprograms this gene expression signature with therapeutic benefit for prostate cancer metastasis, for which there is presently no cure. Together, these findings extend our understanding of how the 'cancerous' translation machinery steers specific cancer cell behaviours, including metastasis, and may be therapeutically targeted."
rec3RZPFcS0XOk5sE,JAC2006,SIN1/MIP1 maintains rictor-mTOR complex integrity and regulates Akt phosphorylation and substrate specificity,Jacinto E; Su B et al.,2006,Cell,Mechanism,Mammalian cells,"SIN1, rictor, mTORC2, Akt",D - Mechanistic/Review,5 - Mechanistic / In Vitro,Yes,10.1016/j.cell.2006.08.033,,,False,"Mammalian target of rapamycin (mTOR) controls cell growth and proliferation via the raptor-mTOR (TORC1) and rictor-mTOR (TORC2) protein complexes. Recent biochemical studies suggested that TORC2 is the elusive PDK2 for Akt/PKB Ser473 phosphorylation in the hydrophobic motif. Phosphorylation at Ser473, along with Thr308 of its activation loop, is deemed necessary for Akt function, although the regulatory mechanisms and physiological importance of each phosphorylation site remain to be fully understood. Here, we report that SIN1/MIP1 is an essential TORC2/PDK2 subunit. Genetic ablation of sin1 abolished Akt-Ser473 phosphorylation and disrupted rictor-mTOR interaction but maintained Thr308 phosphorylation. Surprisingly, defective Ser473 phosphorylation affected only a subset of Akt targets in vivo, including FoxO1/3a, while other Akt targets, TSC2 and GSK3, and the TORC1 effectors, S6K and 4E-BP1, were unaffected. Our findings reveal that the SIN1-rictor-mTOR function in Akt-Ser473 phosphorylation is required for TORC2 function in cell survival but is dispensable for TORC1 function.",SIN1 maintains rictor-mTOR integrity and confers mTORC2 Akt-Ser473 kinase activity and substrate specificity.,"SIN1/MIP1 maintains rictor-mTOR complex integrity and regulates Akt phosphorylation and substrate specificity
Key finding: SIN1 maintains rictor-mTOR integrity and confers mTORC2 Akt-Ser473 kinase activity and substrate specificity.
Abstract: Mammalian target of rapamycin (mTOR) controls cell growth and proliferation via the raptor-mTOR (TORC1) and rictor-mTOR (TORC2) protein complexes. Recent biochemical studies suggested that TORC2 is the elusive PDK2 for Akt/PKB Ser473 phosphorylation in the hydrophobic motif. Phosphorylation at Ser473, along with Thr308 of its activation loop, is deemed necessary for Akt function, although the regulatory mechanisms and physiological importance of each phosphorylation site remain to be fully understood. Here, we report that SIN1/MIP1 is an essential TORC2/PDK2 subunit. Genetic ablation of sin1 abolished Akt-Ser473 phosphorylation and disrupted rictor-mTOR interaction but maintained Thr308 phosphorylation. Surprisingly, defective Ser473 phosphorylation affected only a subset of Akt targets in vivo, including FoxO1/3a, while other Akt targets, TSC2 and GSK3, and the TORC1 effectors, S6K and 4E-BP1, were unaffected. Our findings reveal that the SIN1-rictor-mTOR function in Akt-Ser473 phosphorylation is required for TORC2 function in cell survival but is dispensable for TORC1 function."
rec3bdrglkiZ4HGeW,CHI2012,Regulation and function of mTOR signalling in T cell fate decisions,Chi H,2012,Nature reviews. Immunology,Review,Review,"mTOR, T cell fate",D - Mechanistic/Review,Narrative Review,Yes,10.1038/nri3198,22517423,PMC3417069,True,"The evolutionarily conserved kinase mTOR (mammalian target of rapamycin) couples cell growth and metabolism to environmental inputs in eukaryotes. T cells depend on mTOR signalling to integrate immune signals and metabolic cues for their proper maintenance and activation. Under steady-state conditions, mTOR is actively controlled by multiple inhibitory mechanisms, and this enforces normal T cell homeostasis. Antigen recognition by naive CD4(+) and CD8(+) T cells triggers mTOR activation, which in turn programmes the differentiation of these cells into functionally distinct lineages. This Review focuses on the signalling mechanisms of mTOR in T cell homeostatic and functional fates, and discusses the therapeutic implications of targeting mTOR in T cells.",Review of mTOR signalling in T-cell fate decisions.,"Regulation and function of mTOR signalling in T cell fate decisions
Key finding: Review of mTOR signalling in T-cell fate decisions.
Abstract: The evolutionarily conserved kinase mTOR (mammalian target of rapamycin) couples cell growth and metabolism to environmental inputs in eukaryotes. T cells depend on mTOR signalling to integrate immune signals and metabolic cues for their proper maintenance and activation. Under steady-state conditions, mTOR is actively controlled by multiple inhibitory mechanisms, and this enforces normal T cell homeostasis. Antigen recognition by naive CD4(+) and CD8(+) T cells triggers mTOR activation, which in turn programmes the differentiation of these cells into functionally distinct lineages. This Review focuses on the signalling mechanisms of mTOR in T cell homeostatic and functional fates, and discusses the therapeutic implications of targeting mTOR in T cells."
