sid,status,note
CAS2009,error,HTTP Error 404: Not Found
ARR2015,error,HTTP Error 404: Not Found
EFE2012,error,HTTP Error 404: Not Found
CAS2009,ok,
ARR2015,ok,
EFE2012,ok,
SOL2014,ok,
STR2012,no-fulltext,
HAR2014,ok,
BJE2010,ok,
CAC2010,no-fulltext,
ZEN2013,ok,
HAL2012,ok,
SIN2013,ok,
EHN2008,no-fulltext,
GUE2009,ok,
DEL2011,ok,
BIT2016,ok,
NEF2013,no-fulltext,
FOK2014,ok,
WUX2013,ok,
POW2006,no-fulltext,
WIL2012,ok,
SPI2010,ok,
FLY2013,ok,
ZHO2009,no-fulltext,
KAP2004,no-fulltext,
ROB2012,ok,
MIL2011,no-fulltext,
SEL2009,ok,
MAT2017,ok,
MEI2008,no-fulltext,
BAB2025,error,"HTTP 429: {
  ""error"": {
    ""code"": 429,
    ""message"": ""You exceeded your current quota, please check your plan and bi"
CHE2008,error,"HTTP 429: {
  ""error"": {
    ""code"": 429,
    ""message"": ""You exceeded your current quota, please check your plan and bi"
LIX2010,error,"HTTP 429: {
  ""error"": {
    ""code"": 429,
    ""message"": ""You exceeded your current quota, please check your plan and bi"
URF2017,no-fulltext,
PYO2013,error,"HTTP 429: {
  ""error"": {
    ""code"": 429,
    ""message"": ""You exceeded your current quota, please check your plan and bi"
WAN2011,error,"HTTP 429: {
  ""error"": {
    ""code"": 429,
    ""message"": ""You exceeded your current quota, please check your plan and bi"
ARA2009,error,"HTTP 429: {
  ""error"": {
    ""code"": 429,
    ""message"": ""You exceeded your current quota, please check your plan and bi"
MIL2014,error,"HTTP 429: {
  ""error"": {
    ""code"": 429,
    ""message"": ""You exceeded your current quota, please check your plan and bi"
HAR2009,ok,
ZID2009,error,"HTTP 429: {
  ""error"": {
    ""code"": 429,
    ""message"": ""You exceeded your current quota, please check your plan and bi"
CHE2009,error,"HTTP 429: {
  ""error"": {
    ""code"": 429,
    ""message"": ""You exceeded your current quota, please check your plan and bi"
STR2012,no-fulltext,
CAC2010,no-fulltext,
EHN2008,no-fulltext,
NEF2013,no-fulltext,
POW2006,no-fulltext,
ZHO2009,no-fulltext,
KAP2004,no-fulltext,
MIL2011,no-fulltext,
MEI2008,no-fulltext,
BAB2025,ok,
CHE2008,ok,
LIX2010,ok,
URF2017,no-fulltext,
PYO2013,ok,
WAN2011,ok,
ARA2009,ok,
MIL2014,ok,
ZID2009,ok,
CHE2009,ok,
