sid,title,authors,year,journal,tier,pyramid,category,model,peer_reviewed,doi,pmid,pmcid,finding,abstract,ai_intervention,ai_target,ai_species,ai_effect,ai_dose,ai_samplesize,ai_effectsize,ai_limitations,atlas_url
DEM2016,Lysosomal recruitment of TSC2 is a universal response to cellular stress,Demetriades C; Teleman AA et al.,2016,Nature communications,D - Mechanistic/Review,5 - Mechanistic / In Vitro,Mechanism,Mammalian cells,Yes,10.1038/ncomms10662,26868506,PMC4754342,"Lysosomal recruitment of TSC2 is a universal response to cellular stress that inhibits mTORC1.
","mTORC1 promotes cell growth and is therefore inactivated upon unfavourable growth conditions. Signalling pathways downstream of most cellular stresses converge on TSC1/2, which serves as an integration point that inhibits mTORC1. The TSC1/2 complex was shown to translocate to lysosomes to inactivate mTORC1 in response to two stresses: amino-acid starvation and growth factor removal. Whether other stresses also regulate TSC2 localization is not known. How TSC2 localization responds to combinations of stresses and other stimuli is also unknown. We show that both amino acids and growth factors are required simultaneously to maintain TSC2 cytoplasmic; when one of the two is missing, TSC2 relocalizes to lysosomes. Furthermore, multiple different stresses that inhibit mTORC1 also drive TSC2 lysosomal accumulation. Our findings indicate that lysosomal recruitment of TSC2 is a universal response to stimuli that inactivate mTORC1, and that the presence of any single stress is sufficient to cause TSC2 lysosomal localization.","Various cellular stresses (amino-acid/growth-factor withdrawal, etc.) – mechanistic",TSC2 / mTORC1,Mammalian cells,Diverse stresses relocate TSC2 to the lysosome → inhibit mTORC1 (a universal response),,,,,https://mtor-atlas.org/study/DEM2016/
INOK2003,Rheb GTPase is a direct target of TSC2 GAP activity and regulates mTOR signaling,Inoki K; Guan KL et al.,2003,Genes & development,D - Mechanistic/Review,5 - Mechanistic / In Vitro,Mechanism,In vitro; Drosophila,Yes,10.1101/gad.1110003,12869586,PMC196227,"TSC2 is a GAP for Rheb; loss of TSC2 raises Rheb-GTP and constitutively activates mTOR.
","Tuberous sclerosis complex (TSC) is a genetic disease caused by mutation in either TSC1 or TSC2. The TSC1 and TSC2 gene products form a functional complex and inhibit phosphorylation of S6K and 4EBP1. These functions of TSC1/TSC2 are likely mediated by mTOR. Here we report that TSC2 is a GTPase-activating protein (GAP) toward Rheb, a Ras family GTPase. Rheb stimulates phosphorylation of S6K and 4EBP1. This function of Rheb is blocked by rapamycin and dominant-negative mTOR. Rheb stimulates the phosphorylation of mTOR and plays an essential role in regulation of S6K and 4EBP1 in response to nutrients and cellular energy status. Our data demonstrate that Rheb acts downstream of TSC1/TSC2 and upstream of mTOR to regulate cell growth.",Biochemical/genetic (TSC2 GAP activity toward Rheb),Rheb / TSC2 / mTOR,In vitro; Drosophila,TSC2 is a GAP for Rheb; Rheb-GTP activates mTOR/S6K/4EBP1 (rapamycin-sensitive),,,,,https://mtor-atlas.org/study/INOK2003/
INO2002,TSC2 is phosphorylated and inhibited by Akt and suppresses mTOR signalling,Inoki K; Guan KL et al.,2002,Nature Cell Biology,D - Mechanistic/Review,5 - Mechanistic / In Vitro,Mechanism,Human cell lines,Yes,10.1038/ncb839,12172553,,"Akt directly phosphorylates and inactivates TSC2, disrupting the TSC1-TSC2 complex and releasing its inhibition of mTOR - the link between growth-factor/insulin signaling and mTORC1 activation.
","Tuberous sclerosis (TSC) is an autosomal dominant disorder characterized by the formation of hamartomas in a wide range of human tissues. Mutation in either the TSC1 or TSC2 tumour suppressor gene is responsible for both the familial and sporadic forms of this disease. TSC1 and TSC2 proteins form a physical and functional complex in vivo. Here, we show that TSC1-TSC2 inhibits the p70 ribosomal protein S6 kinase 1 (an activator of translation) and activates the eukaryotic initiation factor 4E binding protein 1 (4E-BP1, an inhibitor of translational initiation). These functions of TSC1-TSC2 are mediated by inhibition of the mammalian target of rapamycin (mTOR). Furthermore, TSC2 is directly phosphorylated by Akt, which is involved in stimulating cell growth and is activated by growth stimulating signals, such as insulin. TSC2 is inactivated by Akt-dependent phosphorylation, which destabilizes TSC2 and disrupts its interaction with TSC1. Our data indicate a molecular mechanism for TSC2 in insulin signalling, tumour suppressor functions and in the inhibition of cell growth.",Biochemical/genetic (Akt phosphorylation of TSC2),TSC2 / Akt / mTOR,Human cell lines,Akt phosphorylates and inactivates TSC2 → relieves mTOR inhibition (links insulin/growth factors to mTORC1),,,,,https://mtor-atlas.org/study/INO2002/
YU2026,High-concentration hydrogen mitigates cognitive impairment in a murine model of Sepsis-associated encephalopathy by enhancing oligodendrocyte maturation and myelination in the mPFC,Yu J; Qi W; Li F; Chang B; Wang Zengkun; Kan Y; Yu Yonghao; Yu Yang,2026,Progress in Neuro-Psychopharmacology and Biological Psychiatry,C - Animal,4 - Animal Study,Animal,Mouse (CLP-induced SAE model),Yes,10.1016/j.pnpbp.2026.111892,,,"In a mouse model of sepsis-associated encephalopathy (SAE), mTOR hyperactivation impairs oligodendrocyte maturation and causes cognitive deficits; hydrogen gas and rapamycin suppress mTOR, restore myelination, and improve cognition in these mice.
","Sepsis-associated encephalopathy (SAE) commonly elicits long-lasting cognitive deterioration. This study investigates whether high-concentration (67%) hydrogen gas protects against SAE by promoting oligodendrocyte maturation and myelination in the medial prefrontal cortex (mPFC). mTOR hyperactivation in the mPFC of SAE mice impeded oligodendrocyte precursor cell (OPC) differentiation, triggered hypomyelination, and precipitated cognitive dysfunction. 67% hydrogen inhalation mitigated SAE-induced cognitive dysfunction by restraining mTOR overactivation to promote oligodendrocyte maturation and myelin reconstruction; rapamycin treatment exerted synergistic neuroprotective efficacy.",67% Hydrogen gas; Rapamycin; NV-5138 (mTOR agonist),mTOR pathway; oligodendrocyte precursor cell differentiation; myelination,Mouse,"In mice, mTOR hyperactivation blocks OPC differentiation and myelination causing cognitive decline; hydrogen + rapamycin suppress mTOR and restore cognition",,,,,https://mtor-atlas.org/study/YU2026/
JIN2026B,Rapamycin attenuates age-related atrial remodeling and fibrillation by targeting HIF-1α-mediated metabolic dysregulation.,Jin L; Jiang T; Gong H et al.,2026,Biochimica et Biophysica Acta - Molecular Basis of Disease,C - Animal,4 - Animal Study,Animal,Mouse (D-galactose aging model),Yes,10.1016/j.bbadis.2026.168438,,,"Dietary rapamycin reduced aging-induced atrial fibrillation susceptibility and atrial remodelling in D-galactose-aged mice, acting largely through mTOR-independent inhibition of HIF-1α plus restored mitochondrial function and insulin sensitivity.
","Atrial fibrillation (AF) is an age-related disease. Although rapamycin is a foremost anti-aging therapy with proven efficacy in lifespan extension, its impact on aging-induced atrial remodeling and AF susceptibility was unknown. An aging-induced AF-susceptible mouse model was produced by D-galactose injection followed by a rapamycin diet. Rapamycin significantly reduced aging-induced AF susceptibility and ameliorated atrial electrical and structural remodeling. Metabolically, it improved systemic insulin resistance, restored mitochondrial function and morphology, and counteracted aging-induced perturbations in substrate utilization. Mechanistically, rapamycin inhibited HIF-1α transcriptional activity and suppressed CoCl2-induced HIF-1α expression and nuclear translocation; pharmacological restoration of HIF-1α attenuated rapamycin's protective effects. Molecular docking, dynamics simulations and isothermal titration calorimetry suggested rapamycin may directly interfere with HIF-1α dimerization. Restoration of mTOR activity failed to reverse rapamycin-mediated HIF-1α inhibition, suggesting an mTOR-independent regulatory mechanism.",Rapamycin (dietary),HIF-1α (mTOR-independent); mitochondrial metabolism,Mouse,"Reduced AF susceptibility, improved insulin resistance, restored mitochondrial function and substrate utilisation",,,,,https://mtor-atlas.org/study/JIN2026B/
LOF2011,Ulk1-mediated phosphorylation of AMPK constitutes a negative regulatory feedback loop,Löffler AS et al.,2011,Autophagy,D - Mechanistic/Review,5 - Mechanistic / In Vitro,Mechanism,Human cells; mouse,Yes,10.4161/auto.7.7.15451,21460634,,"ULK1 phosphorylates and inhibits AMPK in return, showing autophagy signaling is a bidirectional feedback loop, not a one-way switch.
","Unc-51-like kinase 1 (Ulk1) plays a central role in autophagy induction. It forms a stable complex with Atg13 and focal adhesion kinase (FAK) family interacting protein of 200 kDa (FIP 200). This complex is negatively regulated by the mammalian target of rapamycin complex 1 (mTORC1) in a nutrient-dependent way. AMP-activated protein kinase (AMPK), which is activated by LKB1/Strad/Mo25 upon high AMP levels, stimulates autophagy by inhibiting mTORC1. Recently, it has been described that AMPK and Ulk1 interact and that the latter is phosphorylated by AMPK. This phosphorylation leads to the direct activation of Ulk1 by AMPK bypassing mTOR-inhibition. Here we report that Ulk1/2 in turn phosphorylates all three subunits of AMPK and thereby negatively regulates its activity. Thus, we propose that Ulk1 is not only involved in the induction of autophagy, but also in terminating signaling events that trigger autophagy. In our model, phosphorylation of AMPK by Ulk1 represents a negative feedback circuit.",Biochemical (ULK1–AMPK),ULK1 / AMPK / mTORC1,Human cells; mouse,ULK1 phosphorylates and inhibits AMPK – a negative feedback loop in autophagy signaling,,,,,https://mtor-atlas.org/study/LOF2011/
KIM2003,"GbetaL, a positive regulator of the rapamycin-sensitive pathway required for the nutrient-sensitive interaction between raptor and mTOR",Kim DH; Sarbassov DD; Ali SM; Latek RR; Guntur KVP; Erdjument-Bromage H; Tempst P; Sabatini DM,2003,Molecular Cell,D - Mechanistic/Review,5 - Mechanistic / In Vitro,Mechanism,Human cells (biochemistry),Yes,10.1016/s1097-2765(03)00114-x,12718876,,"Discovered mLST8 (GbetaL), the third core subunit that clamps onto mTOR's kinase domain and stabilizes the complex. It fine-tunes how tightly Raptor holds mTOR in response to nutrients - a small but essential cog that later turned out to be especially critical for the mTORC2 complex.
","mTOR and raptor are components of a signaling pathway that regulates mammalian cell growth in response to nutrients and growth factors. Here, we identify a member of this pathway, a protein named GbetaL that binds to the kinase domain of mTOR and stabilizes the interaction of raptor with mTOR. Like mTOR and raptor, GbetaL participates in nutrient- and growth factor-mediated signaling to S6K1, a downstream effector of mTOR, and in the control of cell size. The binding of GbetaL to mTOR strongly stimulates the kinase activity of mTOR toward S6K1 and 4E-BP1, an effect reversed by the stable interaction of raptor with mTOR. Interestingly, nutrients and rapamycin regulate the association between mTOR and raptor only in complexes that also contain GbetaL. Thus, we propose that the opposing effects on mTOR activity of the GbetaL- and raptor-mediated interactions regulate the mTOR pathway.",Biochemical – identification of GβL (mLST8),mTOR / raptor / GβL (mLST8),Human cells (biochemistry),GβL binds the mTOR kinase domain and stabilizes the raptor–mTOR interaction; stimulates nutrient-sensitive signaling to S6K1 and cell-size control,,,,,https://mtor-atlas.org/study/KIM2003/
LIS2026,Notoginsenoside R1 Alleviates Acetaminophen-Induced Liver Injury via MAPK/mTOR-Mediated Autophagy.,"Li S, Liu Z, Pan G, Li Y, Lv K",2026,The American Journal of Chinese Medicine,C - Animal,4 - Animal Study,Animal,Mouse,Yes,10.1142/S0192415X26500576,42459050,,"Notoginsenoside R1 alleviates acetaminophen-induced acute liver injury by activating protective autophagy through MAPK/mTOR pathway modulation, reducing hepatocyte death and oxidative damage.
","Notoginsenoside R1 (NGR1), a bioactive saponin from Panax notoginseng, was investigated in acetaminophen-induced acute liver injury (AILI). NGR1 treatment activated autophagy via modulation of the MAPK/mTOR pathway, reducing hepatocyte apoptosis and oxidative stress, and attenuating liver injury in mouse models and hepatocyte cultures.",Notoginsenoside R1,MAPK/mTOR pathway; autophagy,Mouse,"NGR1 suppresses mTOR to activate autophagy, reducing APAP-induced hepatocyte apoptosis and liver injury",,,,,https://mtor-atlas.org/study/LIS2026/
GWI2008,AMPK phosphorylation of raptor mediates a metabolic checkpoint,Gwinn DM; Shackelford DB; Egan DF; Mihaylova MM; Mery A; Vasquez DS; Turk BE; Shaw RJ,2008,Molecular Cell,D - Mechanistic/Review,5 - Mechanistic / In Vitro,Mechanism,Human/mouse cells (biochemistry),Yes,10.1016/j.molcel.2008.03.003,18439900,PMC2674027,"Found a SECOND way the energy sensor AMPK shuts mTORC1 down. Besides acting through TSC2, AMPK directly phosphorylates Raptor - the core mTORC1 subunit - to halt growth when energy runs low. This 'metabolic checkpoint' is exactly the switch that drugs like metformin and exercise tap into.
","AMPK is a highly conserved sensor of cellular energy status that is activated under conditions of low intracellular ATP. AMPK responds to energy stress by suppressing cell growth and biosynthetic processes, in part through its inhibition of the rapamycin-sensitive mTOR (mTORC1) pathway. AMPK phosphorylation of the TSC2 tumor suppressor contributes to suppression of mTORC1; however, TSC2-deficient cells remain responsive to energy stress. Using a proteomic and bioinformatics approach, we sought to identify additional substrates of AMPK that mediate its effects on growth control. We report here that AMPK directly phosphorylates the mTOR binding partner raptor on two well-conserved serine residues, and this phosphorylation induces 14-3-3 binding to raptor. The phosphorylation of raptor by AMPK is required for the inhibition of mTORC1 and cell-cycle arrest induced by energy stress. These findings uncover a conserved effector of AMPK that mediates its role as a metabolic checkpoint coordinating cell growth with energy status.",Biochemical/genetic (AMPK phosphorylation of raptor),raptor / mTORC1 / AMPK,Human/mouse cells (biochemistry),Under energy stress AMPK phosphorylates raptor → a metabolic checkpoint that suppresses mTORC1,,,,,https://mtor-atlas.org/study/GWI2008/
VITTE2026,Efficacy and safety of everolimus in heart transplant recipients: A meta-analysis,Vitte SH; Luna AM; Pille JJ; Pinheiro BN; Souza MBL; Irudhayaraj CDJ; Munaretto GM,2026,JHLT Open,A - Systematic review,1 - Systematic Review,Human,Human (adult and paediatric heart transplant recipients),Yes,10.1016/j.jhlto.2026.100610,42656203,PMC13506258,"Meta-analysis of 60 studies (1786 heart transplant recipients): everolimus-based immunosuppression reduced cardiac allograft vasculopathy progression on IVUS (RR ~0.57) and preserved renal function (eGFR +10-15 mL/min) when combined with calcineurin-inhibitor minimisation, with neutral all-cause mortality (RR ~0.98) but more adverse events and treatment discontinuation.
","Long-term outcomes after heart transplantation remain limited by cardiac allograft vasculopathy (CAV) and calcineurin inhibitor (CNI)-related nephrotoxicity. Everolimus has emerged as a CNI-sparing strategy, yet its net clinical benefit remains debated. To determine whether everolimus-based immunosuppression improves efficacy and safety compared with standard CNI-based therapy in heart transplant recipients. We conducted a systematic review and meta-analysis of randomized controlled trials and comparative observational studies enrolling adult and/or pediatric heart transplant recipients. MEDLINE, EMBASE, and CENTRAL were searched from inception. The primary endpoint was the composite MATE-3 (acute rejection, CAV, or chronic kidney disease). Secondary outcomes included mortality, individual efficacy components, renal function, and the broader safety composite (MATE-6). Pooled effect estimates were generated using random-effects models. Sixty studies including 1786 heart transplant recipients (mean age ~52 years) were analyzed. Everolimus-based regimens reduced cardiac allograft vasculopathy progression by intravascular ultrasound (RR ~0.57) and improved renal function when combined with CNI minimization (mean eGFR increase ~10-15 mL/min). The composite MATE-3 endpoint favored everolimus. All-cause mortality was neutral (RR ~0.98). Acute rejection varied by protocol, with higher rates mainly in strategies involving abrupt or late CNI withdrawal. The safety composite (MATE-6) showed increased adverse events and treatment discontinuation with everolimus. Everolimus-based immunosuppression provides meaningful vasculoprotection and renal preservation without increasing mortality. When used within structured CNI minimization protocols, it offers a strategy to improve long-term graft health after heart transplantation.",Everolimus-based immunosuppression (with calcineurin-inhibitor minimisation or withdrawal) vs standard CNI-based therapy,mTORC1 (everolimus),Human,Reduced cardiac allograft vasculopathy progression and better renal function; mortality neutral; more adverse events and discontinuations,,,,,https://mtor-atlas.org/study/VITTE2026/
